pdf_name,context,page,land_type,land-type_2,https://drive.google.com/drive/folders/1YFCO0346CU_mfqp-9twzwkOIQRSAtCtk?usp=sharing
1-6-1-12_la_couvertoirade_valorem_avis_valide_mrae.pdf,"Le projet de centrale photovoltaïque au sol se situe sur la commune de La Couvertoirade en
Aveyron, sur le plateau du Larzac. Le site se localise sur un ancien délaissé autoroutier de l’A75 et
s’étend sur une superficie de 7,7 hectares d’emprise clôturée dont environ 3 hectares de
panneaux photovoltaïques pour une puissance d’environ 5 MWc.",3,Surfaces artificialisées,délaissé routier,
1-6-1-32_sauvetat_valeco_pvsol_avis_valide_mrae-2.pdf,"Le projet de centrale photovoltaïque au sol de « La Tastère » porté par VALECO se situe sur la
commune de La Sauvetat, au lieu-dit « La Tastère » au nord du département du Gers sur une
emprise de 9,6 hectares clôturés pour 3,4 ha de surface de panneaux. Le projet se situe pour
moitié sur un ancien site exploité en carrière, et pour moitié sur des espaces naturels..",3,Surfaces artificialisées et naturelles,,
2018apge84.pdf,"Le projet de parc photovoltaïque, porté par la société URBA 187 (groupe URBASOLAR), s’implante
au sud du village, sur une ancienne carrière et unité de fabrication de produits en terre cuite de la
société IMERYS Terre Cuite, dont l'exploitation a cessée.",5,Surfaces artificialisées,friche industrielle,
6112_avisae_pc_photovoltaique_variscourt.pdf,"Le projet s’implante sur les parcelles d’une ancienne carrière de sable, transformée en bassins de
décantation pour les activités d’une sucrerie. Le terrain est actuellement exploité pour l’extraction
de matériaux prélevés sur les digues des casiers de l’ancienne sucrerie.",3,Surfaces artificialisées,friche carrière ou mine,
2018apcvl44.pdf,"Le projet de centrale photovoltaïque au lieu-dit « Les Triballeaux » à Gièvres est
implanté sur une partie du périmètre de « La carrière Landre », carrière d’extraction
de matériaux alluvionnaires, installation classée pour la protection de
l’environnement autorisée en 2003.Une partie du site de la carrière, d’une superficie de 8,8 ha, arrivée en fin
d’exploitation, mais pas encore réaménagée par l’exploitant de la carrière, servirait
de support au projet de centrale photovoltaïque.",3,Surfaces artificialisées,friche carrière ou mine,
2018apge42.pdf,"Le projet concerne l’installation d’une centrale photovoltaïque sur un ancien site minier au lieu-dit
Schoenensteinbach à Wittenheim (Haut-Rhin).",3,Surfaces artificialisées,friche carrière ou mine,
2018apge6.pdf,"La SARL CPV SUN 26 a pour projet d’installer une centrale photovoltaïque au sol sur une friche
minière au nord-ouest de la commune de Petite-Rosselle, le long de la frontière allemande (site
Saint-Charles).",3,Surfaces artificialisées,friche carrière ou mine,
2018apge9.pdf,"La société Quadran souhaite implanter une centrale photovoltaïque sur le territoire communal
de Hesse (57), sur une ancienne installation de stockage de déchets.",3,Surfaces artificialisées,friche activités de gestion de déchets,
2019apge15.pdf,"La société TOTAL SOLAR projette de construire une centrale photovoltaïque au sol d’une
puissance de 4,99 MWc2, sur une surface de 4,5 ha et pour une durée de 25 ans sur un
ancien site d’une installation de stockage de déchets non dangereux (ISDND), géré par la
communauté d’agglomération de Sarreguemines confluences (CASC), au sud du quartier
Folpersviller à Sarreguemines.",3,Surfaces artificialisées,friche activités de gestion de déchets,
2019-006776-42112_6776_implantation_d_une_centrale_photovoltaique_a_guiscriff__56_.pdf,"le dossier de demande de permis de construire concernant le projet de création d’une
centrale solaire photovoltaïque au sol sur les terrains de l’aérodrome Brest Atlantique, situé sur la
commune de Guiscriff, porté par la société Solarcentury.",2,Surfaces artificialisées,friche aéroportuaire,
2018apge29.pdf,"Le projet de centrale photovoltaïque s’implante sur trois communes du département de la Meuse :
Marville, Iré-le-Sec et Janmetz, appartenant à la Communauté de communes du Pays de Montmédy
(CCPM), dans l’emprise d’une ancienne base aérienne militaire.",4,Surfaces artificialisées,friche militaire,
2018apgua4.pdf,"Le terrain
concerné par l’implantation de la future centrale est ainsi situé sur l’emprise de l’ancienne décharge
communale d’ordures ménagères exploitée par la commune de 1976 à 2008.",3,Surfaces artificialisées,friche activités de gestion de déchets,
001756_a_p.pdf,"Information de la Mission régionale
d’autorité environnementale (MRAe) Grand Est

sur le dossier de centrale photovoltaïque de la station d’épuration de Reims sur la
commune de Saint Thierry (51), porté par la communauté urbaine du Grand Reims",1,Surfaces artificialisées,friche activités de gestion de déchets,
pdl-2023-6821_projet_centralepv_sodebo_montaiguevendee_85_2023appdl40.pdf,"L’essentiel des parcelles du projet figurent en zone UEI du PLUi Terres de Montaigu (zones économiques
industrielles et logistiques localisées le long des axes majeurs et des sorties d’autoroute) et une seule petite
partie en extrémité sud-est se trouve en zone 1AUEI (destinées à accueillir des activités économiques, au sein
desquelles on peut retrouver les différentes distinctions de vocations des zones UE).
À l’est et au nord du site l’environnement correspond à un espace à dominante agricole, peu densément bâti.",4,Surfaces artificialisées et agricoles,,
2022apo11.pdf,"Il se situe sur deux anciennes gravières de
granulats. L’exploitation de la carrière a débuté en 1967 et s’est terminée en 2019.",3,Surfaces artificialisées,friche carrière ou mine,
2022apo80.pdf,"Le site se trouve sur une ancienne exploitation viticole dont les vignes ont été arrachées en 2007. Jusqu’en
2014, le site a été aménagé pour la pratique professionnelle de l’enduro (moto tout-terrain) et il est précisé que
l’activité de moto-cross y a été pratiquée jusqu’en 2017. Le site présente ainsi aujourd’hui un caractère de friche,
plus ou moins marquée, selon les secteurs, par les anciennes activités de moto-cross.",4,Surfaces artificialisées,friche loisir tourisme hôtellerie,
190606_mrae_avis_delibere_sur_projet_parc_photovoltaique_a_grandpuits_77_.pdf,"La MRAe
informe que le site est considéré comme un espace agricole, en bordure d’un espace urbanisé à
optimiser correspondant à la raffinerie
",12,Surfaces agricoles,,
avismrae_pv_l_isle-sur-la-sorgue_84.pdf,"Le site choisi pour l’implantation du parc photovoltaïque concerne des parcelles végétalisées,
occupées par des friches naturelles, et localisées :",,Surfaces naturelles et forestières,,
avis_mrae_2022appaca82_3295_3296_projet_de_centrale_photovoltaique_a_trigance_83_.pdf,"Le projet, porté par ENGIE Green, concerne la construction d’une centrale photovoltaïque sur la
commune de Trigance (83), au niveau du bois de Siouné dans un espace boisé [SEP] Le parc est implanté en zone naturelle, dans un secteur majoritairement boisé. ",4 et 8,Surfaces naturelles et forestières,,
avis_mrae_2023appaca7_3329_3330_et_apaca8_3351_-_parc_pv_et_revisionno1_du_plu_liee_a_ce_projet_-_varages_83_-bayol_--1.pdf,"Les parcelles sur lesquelles s’implante le projet sont situées dans une zone naturelle (N) du plan local
d’urbanisme (PLU) de la commune de Varages  [SEP] La centrale est implantée en zone naturelle, dans un secteur majoritairement boisé",4 et 8,Surfaces naturelles et forestières,,
2023appaca12.pdf,"Le projet, porté par TotalEnergies, se situe en zone naturelle, au nord-ouest du territoire communal, sur
une parcelle en forêt communale.",4,Surfaces naturelles et forestières,,
pv-vins2-avismrae-1.pdf,"Le projet se situe sur un plateau naturel boisé positionné entre la rivière Caramy au nord et l’autoroute
A8 au sud et pour partie sur le contrefort sud du plateau, en adret du vallon de Signore.",7,Surfaces naturelles et forestières,,
2023appaca40.pdf,La zone du projet est classée en zone naturelle (N) au PLU de Camps-La-Source.,8,Surfaces naturelles et forestières,,
2023appaca45.pdf,"Le projet se situe en zone naturelle à vocation de sports et de loisirs au PLU de la commune et pour
une partie réduite sur une zone agricole dédiée à des jardins partagés.",4,Surfaces naturelles et agricoles,,
2023appaca47.pdf,Le site est constitué en grande partie d’un reboisement,,Surfaces naturelles et forestières,,
2022apo30.pdf,"L’installation est en
zone classée N (zone naturelle avec équipements d’intérêts collectifs possible) du PLU. le site se situe en zone naturelle qui présente une biodiversité riche, attestée par la
présence d’un nombre important de zones naturelles signalées d’intérêt ou réglementées.",7 et 8,Surfaces naturelles et forestières,,Je ne retrouve pas le contexte
2022-010266-avis-mrae_pv_garrigues-st-eulalie_vmrae.pdf,"Le projet s’implante en zone agricole et naturelle, peu marquée par des installations de type industriel.",9,Surfaces naturelles et agricoles,,
pdl-2023-676centralepv_gueory_soulge_le_ganelon_72_2023appdl32.pdf,"Le projet s’étend sur une parcelle de 4,58 hectares de prairies actuellement exploitées pour la production
de foin, dont 4,2 hectares seront clôturés.",2,Surfaces agricoles,,
2021apo39.pdf,"Le projet porté par Total Quadran se situe sur la commune de Tour-de-Faure au sein de terrains naturels
partiellement pâturés par des ovins.",3,Surfaces agricoles,,Je ne retrouve pas le contexte
avis_mrae_2021apo105.pdf,"Le projet de 17,3 ha porte sur des surfaces agricoles composées de jachères enherbées entretenues par fauche
et de 0,48 ha de vigne, rattachées à l’EARL Sainte Eulalie.",3,Surfaces agricoles,,
2022apo32-2.pdf,"Le projet de centrale photovoltaïque, porté par l’entreprise GP JOULE, vise à implanter sur la commune de
Badens 15 050 panneaux solaires au sol au sein de parcelles agricoles anciennement occupées par de la vigne
qui ne sont aujourd’hui plus exploitées.",3,Surfaces agricoles,,
2022apo34.pdf,La MRAe relève que les parcelles retenues étant des parcelles agricoles exploitées,3,Surfaces agricoles,,